iter	Passed	Remaining
0	61	61766
1	62	31038
2	62	20787
3	62	15651
4	63	12592
5	63	10547
6	64	9097
7	64	7991
8	64	7130
9	65	6451
10	65	5897
11	66	5439
12	66	5050
13	66	4714
14	67	4418
15	67	4164
16	68	3932
17	68	3727
18	68	3544
19	68	3377
20	69	3228
21	69	3093
22	69	2968
23	70	2854
24	70	2753
25	70	2656
26	71	2565
27	71	2484
28	71	2410
29	72	2340
30	72	2274
31	73	2210
32	73	2151
33	73	2099
34	74	2045
35	74	1996
36	74	1948
37	75	1902
38	75	1859
39	75	1818
40	76	1780
41	76	1742
42	76	1707
43	77	1675
44	77	1643
45	77	1614
46	78	1584
47	78	1555
48	78	1528
49	79	1504
50	79	1479
51	79	1454
52	80	1434
53	80	1411
54	80	1389
55	81	1367
56	81	1346
57	81	1326
58	82	1308
59	82	1289
60	82	1272
61	83	1256
62	83	1239
63	83	1223
64	84	1208
65	84	1193
66	84	1178
67	84	1164
68	85	1152
69	85	1138
70	85	1124
71	86	1111
72	86	1098
73	86	1086
74	87	1074
75	87	1062
76	87	1051
77	87	1039
78	88	1030
79	88	1021
80	89	1011
81	89	1001
82	89	989
83	89	979
84	90	969
85	90	959
86	90	951
87	90	942
88	91	933
89	91	924
90	91	916
91	92	908
92	92	900
93	92	892
94	92	884
95	93	877
96	93	869
97	93	862
98	94	855
99	94	848
100	94	841
101	94	834
102	95	828
103	95	822
104	95	816
105	96	810
106	96	804
107	96	798
108	96	792
109	97	786
110	97	781
111	97	776
112	98	770
113	98	765
114	98	760
115	99	755
116	99	750
117	99	745
118	100	741
119	100	737
120	100	733
121	101	728
122	101	723
123	101	718
124	102	714
125	102	709
126	102	704
127	102	699
128	103	695
129	103	691
130	103	687
131	103	682
132	104	678
133	104	674
134	104	670
135	104	666
136	105	662
137	105	658
138	105	654
139	106	651
140	106	649
141	106	645
142	107	642
143	107	638
144	107	635
145	108	632
146	108	628
147	108	625
148	108	621
149	109	618
150	109	615
151	109	612
152	109	608
153	110	605
154	110	603
155	111	601
156	111	598
157	111	595
158	112	592
159	112	589
160	112	586
161	112	584
162	113	581
163	113	578
164	113	575
165	114	573
166	114	570
167	114	567
168	115	565
169	115	563
170	115	561
171	116	559
172	116	557
173	116	554
174	117	552
175	117	550
176	117	547
177	118	545
178	118	543
179	118	541
180	119	539
181	119	537
182	119	535
183	120	533
184	120	531
185	121	529
186	121	527
187	121	525
188	122	523
189	122	522
190	122	520
191	123	518
192	123	515
193	123	513
194	123	511
195	124	509
196	124	508
197	124	506
198	125	504
199	125	502
200	126	500
201	126	498
202	126	497
203	126	495
204	127	493
205	127	491
206	127	489
207	128	488
208	128	486
209	128	484
210	129	483
211	129	481
212	129	479
213	130	478
214	130	476
215	130	475
216	131	473
217	131	472
218	131	470
219	132	469
220	132	467
221	133	466
222	133	464
223	133	463
224	134	461
225	134	460
226	134	458
227	135	457
228	135	455
229	135	454
230	136	452
231	136	451
232	136	450
233	137	449
234	137	447
235	137	446
236	138	444
237	138	443
238	138	441
239	139	440
240	139	439
241	139	437
242	140	436
243	140	434
244	140	433
245	140	431
246	141	430
247	141	429
248	141	427
249	142	426
250	142	425
251	142	424
252	143	422
253	143	421
254	143	420
255	144	419
256	144	418
257	144	416
258	145	415
259	145	414
260	145	412
261	146	411
262	146	410
263	146	409
264	147	408
265	147	406
266	147	405
267	148	404
268	148	403
269	148	402
270	149	401
271	149	400
272	149	398
273	150	397
274	150	396
275	150	395
276	151	394
277	151	393
278	151	391
279	151	390
280	152	389
281	152	388
282	153	387
283	153	386
284	153	385
285	154	385
286	154	384
287	155	383
288	155	382
289	155	381
290	156	380
291	156	379
292	156	378
293	156	376
294	157	375
295	157	374
296	157	373
297	158	372
298	158	371
299	158	370
300	158	369
301	159	367
302	159	366
303	159	365
304	159	364
305	160	363
306	160	362
307	160	361
308	160	360
309	161	358
310	161	357
311	161	356
312	162	355
313	162	354
314	162	353
315	162	352
316	163	351
317	163	350
318	163	349
319	163	348
320	164	347
321	164	346
322	164	345
323	165	344
324	165	343
325	165	342
326	166	341
327	166	340
328	166	339
329	166	338
330	167	337
331	167	336
332	167	335
333	167	334
334	168	333
335	168	332
336	168	331
337	168	330
338	169	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	324
344	170	323
345	170	323
346	171	322
347	171	321
348	171	320
349	171	319
350	172	318
351	172	317
352	172	316
353	172	315
354	173	314
355	173	313
356	173	312
357	173	311
358	174	311
359	174	310
360	174	309
361	175	308
362	175	307
363	175	306
364	175	305
365	176	305
366	176	304
367	176	303
368	176	302
369	177	301
370	177	300
371	177	299
372	177	299
373	178	298
374	178	297
375	178	296
376	178	295
377	179	294
378	179	294
379	179	293
380	180	292
381	180	291
382	180	290
383	180	290
384	181	289
385	181	288
386	181	287
387	181	286
388	182	286
389	182	285
390	182	284
391	182	283
392	183	282
393	183	282
394	183	281
395	183	280
396	184	279
397	184	278
398	184	278
399	184	277
400	185	276
401	185	275
402	185	275
403	186	274
404	186	273
405	186	272
406	186	272
407	187	271
408	187	270
409	187	269
410	187	269
411	188	268
412	188	267
413	188	267
414	188	266
415	189	265
416	189	264
417	189	264
418	190	263
419	190	262
420	190	262
421	190	261
422	191	260
423	191	259
424	191	259
425	191	258
426	192	257
427	192	256
428	192	256
429	192	255
430	193	254
431	193	254
432	193	253
433	193	252
434	194	252
435	194	251
436	194	250
437	194	250
438	195	249
439	195	248
440	195	248
441	195	247
442	196	246
443	196	246
444	196	245
445	196	244
446	197	244
447	197	243
448	197	242
449	198	242
450	198	241
451	198	240
452	198	240
453	199	239
454	199	238
455	199	238
456	199	237
457	200	236
458	200	236
459	200	235
460	201	235
461	201	234
462	201	233
463	201	233
464	202	232
465	202	232
466	202	231
467	203	230
468	203	230
469	203	229
470	203	229
471	204	228
472	204	227
473	204	227
474	204	226
475	205	225
476	205	225
477	205	224
478	205	223
479	206	223
480	206	222
481	206	222
482	206	221
483	207	220
484	207	220
485	207	219
486	207	219
487	208	218
488	208	217
489	208	217
490	209	216
491	209	216
492	209	215
493	209	215
494	210	214
495	210	213
496	210	213
497	210	212
498	211	212
499	211	211
500	211	210
501	211	210
502	212	209
503	212	209
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	213	205
510	214	204
511	214	204
512	214	203
513	214	203
514	215	202
515	215	202
516	215	201
517	215	200
518	216	200
519	216	199
520	216	199
521	216	198
522	217	198
523	217	197
524	217	197
525	218	196
526	218	195
527	218	195
528	218	194
529	219	194
530	219	193
531	219	193
532	219	192
533	220	192
534	220	191
535	220	190
536	220	190
537	221	189
538	221	189
539	221	188
540	221	188
541	222	187
542	222	187
543	222	186
544	222	186
545	223	185
546	223	185
547	223	184
548	224	184
549	224	183
550	224	183
551	224	182
552	225	181
553	225	181
554	225	180
555	225	180
556	226	179
557	226	179
558	226	178
559	226	178
560	227	177
561	227	177
562	227	176
563	227	176
564	228	175
565	228	175
566	228	174
567	229	174
568	229	173
569	229	173
570	229	172
571	229	172
572	230	171
573	230	171
574	230	170
575	231	170
576	231	169
577	231	169
578	231	168
579	232	168
580	232	167
581	232	167
582	232	166
583	233	166
584	233	165
585	233	165
586	233	164
587	234	164
588	234	163
589	234	163
590	234	162
591	235	162
592	235	161
593	235	161
594	235	160
595	236	160
596	236	159
597	236	159
598	237	158
599	237	158
600	237	157
601	237	157
602	238	156
603	238	156
604	238	155
605	238	155
606	239	154
607	239	154
608	239	153
609	239	153
610	240	152
611	240	152
612	240	151
613	240	151
614	241	151
615	241	150
616	241	150
617	242	149
618	242	149
619	242	148
620	242	148
621	243	147
622	243	147
623	243	146
624	243	146
625	244	145
626	244	145
627	244	144
628	244	144
629	245	143
630	245	143
631	245	143
632	245	142
633	246	142
634	246	141
635	246	141
636	246	140
637	247	140
638	247	139
639	247	139
640	248	138
641	248	138
642	248	138
643	248	137
644	249	137
645	249	136
646	249	136
647	249	135
648	250	135
649	250	134
650	250	134
651	250	133
652	251	133
653	251	133
654	251	132
655	252	132
656	252	131
657	252	131
658	252	130
659	253	130
660	253	129
661	253	129
662	253	129
663	254	128
664	254	128
665	254	127
666	254	127
667	255	126
668	255	126
669	255	125
670	256	125
671	256	125
672	256	124
673	256	124
674	257	123
675	257	123
676	257	122
677	257	122
678	258	122
679	258	121
680	258	121
681	258	120
682	259	120
683	259	119
684	259	119
685	260	119
686	260	118
687	260	118
688	260	117
689	261	117
690	261	116
691	261	116
692	261	116
693	262	115
694	262	115
695	262	114
696	262	114
697	263	113
698	263	113
699	263	113
700	264	112
701	264	112
702	264	111
703	264	111
704	265	110
705	265	110
706	265	110
707	265	109
708	266	109
709	266	108
710	266	108
711	266	107
712	267	107
713	267	107
714	267	106
715	268	106
716	268	105
717	268	105
718	268	105
719	269	104
720	269	104
721	269	103
722	269	103
723	270	102
724	270	102
725	270	102
726	270	101
727	271	101
728	271	100
729	271	100
730	271	100
731	272	99
732	272	99
733	272	98
734	273	98
735	273	98
736	273	97
737	273	97
738	274	96
739	274	96
740	274	96
741	274	95
742	275	95
743	275	94
744	275	94
745	276	93
746	276	93
747	277	93
748	277	92
749	277	92
750	278	92
751	278	91
752	278	91
753	278	90
754	279	90
755	279	90
756	279	89
757	279	89
758	280	88
759	280	88
760	280	88
761	280	87
762	281	87
763	281	86
764	281	86
765	282	86
766	282	85
767	282	85
768	282	84
769	283	84
770	283	84
771	283	83
772	283	83
773	284	82
774	284	82
775	284	82
776	284	81
777	285	81
778	285	80
779	285	80
780	285	80
781	286	79
782	286	79
783	286	78
784	286	78
785	287	78
786	287	77
787	287	77
788	288	77
789	288	76
790	288	76
791	288	75
792	289	75
793	289	75
794	289	74
795	289	74
796	290	73
797	290	73
798	290	73
799	290	72
800	291	72
801	291	71
802	291	71
803	291	71
804	292	70
805	292	70
806	292	69
807	292	69
808	293	69
809	293	68
810	293	68
811	293	68
812	294	67
813	294	67
814	294	66
815	294	66
816	295	66
817	295	65
818	295	65
819	295	64
820	296	64
821	296	64
822	296	63
823	297	63
824	297	63
825	297	62
826	297	62
827	298	61
828	298	61
829	298	61
830	298	60
831	299	60
832	299	60
833	299	59
834	299	59
835	300	58
836	300	58
837	300	58
838	300	57
839	301	57
840	301	56
841	301	56
842	302	56
843	302	55
844	302	55
845	302	55
846	303	54
847	303	54
848	303	54
849	303	53
850	304	53
851	304	52
852	304	52
853	305	52
854	305	51
855	305	51
856	305	51
857	306	50
858	306	50
859	306	49
860	306	49
861	307	49
862	307	48
863	307	48
864	307	48
865	308	47
866	308	47
867	308	46
868	308	46
869	309	46
870	309	45
871	309	45
872	309	45
873	310	44
874	310	44
875	310	43
876	311	43
877	311	43
878	311	42
879	311	42
880	312	42
881	312	41
882	312	41
883	312	41
884	313	40
885	313	40
886	313	39
887	314	39
888	314	39
889	314	38
890	314	38
891	315	38
892	315	37
893	315	37
894	315	37
895	316	36
896	316	36
897	316	35
898	316	35
899	317	35
900	317	34
901	317	34
902	318	34
903	318	33
904	318	33
905	318	33
906	319	32
907	319	32
908	319	31
909	319	31
910	320	31
911	320	30
912	320	30
913	321	30
914	321	29
915	321	29
916	321	29
917	322	28
918	322	28
919	322	28
920	322	27
921	323	27
922	323	26
923	323	26
924	323	26
925	324	25
926	324	25
927	324	25
928	324	24
929	325	24
930	325	24
931	325	23
932	325	23
933	326	23
934	326	22
935	326	22
936	326	21
937	327	21
938	327	21
939	327	20
940	328	20
941	328	20
942	328	19
943	328	19
944	329	19
945	329	18
946	329	18
947	329	18
948	330	17
949	330	17
950	330	17
951	330	16
952	331	16
953	331	15
954	331	15
