iter	Passed	Remaining
0	60	60157
1	60	30218
2	60	20257
3	61	15269
4	61	12269
5	62	10271
6	62	8836
7	62	7766
8	62	6935
9	63	6272
10	63	5741
11	64	5294
12	64	4912
13	65	4590
14	65	4310
15	65	4056
16	66	3831
17	66	3631
18	66	3450
19	67	3288
20	67	3142
21	67	3009
22	67	2888
23	68	2778
24	68	2675
25	68	2581
26	69	2494
27	69	2413
28	70	2344
29	70	2278
30	70	2216
31	71	2156
32	71	2097
33	71	2042
34	72	1990
35	72	1941
36	72	1896
37	73	1854
38	73	1812
39	73	1772
40	74	1734
41	74	1699
42	74	1666
43	75	1634
44	75	1604
45	75	1575
46	76	1547
47	76	1520
48	76	1493
49	77	1468
50	77	1443
51	77	1419
52	78	1398
53	78	1377
54	78	1355
55	79	1335
56	79	1316
57	80	1300
58	80	1284
59	80	1266
60	81	1249
61	81	1231
62	81	1216
63	82	1202
64	82	1186
65	82	1171
66	83	1156
67	83	1142
68	83	1130
69	84	1117
70	84	1104
71	84	1091
72	85	1079
73	85	1067
74	85	1055
75	85	1044
76	86	1034
77	86	1023
78	86	1013
79	87	1006
80	87	996
81	88	986
82	88	974
83	88	965
84	88	958
85	89	951
86	89	942
87	90	934
88	90	926
89	90	918
90	91	909
91	91	902
92	91	894
93	92	887
94	92	879
95	92	872
96	92	865
97	93	858
98	93	851
99	93	844
100	94	837
101	94	831
102	94	824
103	94	818
104	95	812
105	95	806
106	95	800
107	96	794
108	96	789
109	96	784
110	97	778
111	97	773
112	97	767
113	98	762
114	98	756
115	98	751
116	98	745
117	99	741
118	99	736
119	99	731
120	100	727
121	100	723
122	100	719
123	101	715
124	101	711
125	101	707
126	102	702
127	102	698
128	102	694
129	103	690
130	103	686
131	103	683
132	104	679
133	104	675
134	104	671
135	105	668
136	105	664
137	105	661
138	106	657
139	106	653
140	106	650
141	106	645
142	107	642
143	107	639
144	107	635
145	108	632
146	108	629
147	108	625
148	109	622
149	109	619
150	109	616
151	109	612
152	110	609
153	110	606
154	110	603
155	111	600
156	111	598
157	111	595
158	112	592
159	112	590
160	112	586
161	112	583
162	113	580
163	113	578
164	113	575
165	114	573
166	114	570
167	114	567
168	114	565
169	115	562
170	115	560
171	115	557
172	116	555
173	116	553
174	116	551
175	117	548
176	117	546
177	117	543
178	118	542
179	118	540
180	118	538
181	119	536
182	119	533
183	119	531
184	120	530
185	120	527
186	121	526
187	121	524
188	121	522
189	122	520
190	122	518
191	122	516
192	123	515
193	123	513
194	123	511
195	124	509
196	124	507
197	124	506
198	125	504
199	125	502
200	126	501
201	126	499
202	126	497
203	127	495
204	127	493
205	127	492
206	127	490
207	128	488
208	128	486
209	128	485
210	129	483
211	129	481
212	130	480
213	130	479
214	130	477
215	131	475
216	131	473
217	131	472
218	131	470
219	132	468
220	132	467
221	132	465
222	133	463
223	133	462
224	133	460
225	134	459
226	134	457
227	134	456
228	134	454
229	135	452
230	135	451
231	135	449
232	136	447
233	136	446
234	136	444
235	136	443
236	137	441
237	137	440
238	137	438
239	138	437
240	138	435
241	138	433
242	138	432
243	139	430
244	139	429
245	139	427
246	139	426
247	140	424
248	140	423
249	140	421
250	140	420
251	141	418
252	141	417
253	141	416
254	141	414
255	142	413
256	142	411
257	142	410
258	142	409
259	143	407
260	143	406
261	143	405
262	144	403
263	144	402
264	144	401
265	144	399
266	145	398
267	145	397
268	145	396
269	146	394
270	146	393
271	146	392
272	146	391
273	147	390
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	148	382
280	149	381
281	149	380
282	149	379
283	149	378
284	150	376
285	150	375
286	150	374
287	151	373
288	151	372
289	151	370
290	151	369
291	152	368
292	152	367
293	152	366
294	152	365
295	153	363
296	153	362
297	153	361
298	153	360
299	154	359
300	154	358
301	154	357
302	154	356
303	155	355
304	155	353
305	155	352
306	155	351
307	156	350
308	156	349
309	156	348
310	156	347
311	157	346
312	157	345
313	157	344
314	157	343
315	158	342
316	158	341
317	158	340
318	158	339
319	159	338
320	159	337
321	159	336
322	159	335
323	160	334
324	160	333
325	160	332
326	160	331
327	161	330
328	161	329
329	161	328
330	161	327
331	162	326
332	162	325
333	162	324
334	162	323
335	163	322
336	163	321
337	163	320
338	163	319
339	164	318
340	164	317
341	164	316
342	164	315
343	165	314
344	165	314
345	165	313
346	165	312
347	166	311
348	166	310
349	166	309
350	166	308
351	167	307
352	167	307
353	167	306
354	168	305
355	168	304
356	168	303
357	168	302
358	169	301
359	169	300
360	169	300
361	169	299
362	170	298
363	170	297
364	170	296
365	170	295
366	171	295
367	171	294
368	171	293
369	171	292
370	172	291
371	172	291
372	172	290
373	173	289
374	173	288
375	173	288
376	173	287
377	174	286
378	174	285
379	174	284
380	174	284
381	175	283
382	175	282
383	175	281
384	175	281
385	176	280
386	176	279
387	176	278
388	176	277
389	177	277
390	177	276
391	177	275
392	177	274
393	178	274
394	178	273
395	178	272
396	179	271
397	179	271
398	179	270
399	179	269
400	180	268
401	180	268
402	180	267
403	180	266
404	181	266
405	181	265
406	181	264
407	181	264
408	182	263
409	182	262
410	182	261
411	183	261
412	183	260
413	183	259
414	183	259
415	184	258
416	184	257
417	184	257
418	184	256
419	185	255
420	185	254
421	185	254
422	185	253
423	186	252
424	186	252
425	186	251
426	187	251
427	187	250
428	187	249
429	187	249
430	188	248
431	188	247
432	188	247
433	189	246
434	189	245
435	189	245
436	189	244
437	190	243
438	190	243
439	190	242
440	190	241
441	191	241
442	191	240
443	191	240
444	191	239
445	192	238
446	192	238
447	192	237
448	192	236
449	193	236
450	193	235
451	193	234
452	194	234
453	194	233
454	194	233
455	194	232
456	195	231
457	195	231
458	195	230
459	195	229
460	196	229
461	196	228
462	196	228
463	197	227
464	197	227
465	197	226
466	197	225
467	198	225
468	198	224
469	198	224
470	198	223
471	199	222
472	199	222
473	199	221
474	199	220
475	200	220
476	200	219
477	200	219
478	200	218
479	201	218
480	201	217
481	201	216
482	202	216
483	202	215
484	202	215
485	202	214
486	203	213
487	203	213
488	203	212
489	203	212
490	204	211
491	204	210
492	204	210
493	204	209
494	205	209
495	205	208
496	205	208
497	205	207
498	206	206
499	206	206
500	206	205
501	207	205
502	207	204
503	207	204
504	207	203
505	208	203
506	208	202
507	208	202
508	208	201
509	209	201
510	209	200
511	209	199
512	210	199
513	210	198
514	210	198
515	210	197
516	211	197
517	211	196
518	211	196
519	211	195
520	212	195
521	212	194
522	212	193
523	212	193
524	213	192
525	213	192
526	213	191
527	214	191
528	214	190
529	214	190
530	214	189
531	215	189
532	215	188
533	215	188
534	215	187
535	216	187
536	216	186
537	216	186
538	216	185
539	217	185
540	217	184
541	217	184
542	218	183
543	218	182
544	218	182
545	218	181
546	219	181
547	219	180
548	219	180
549	219	179
550	220	179
551	220	178
552	220	178
553	220	177
554	221	177
555	221	176
556	221	176
557	222	176
558	222	175
559	223	175
560	223	174
561	223	174
562	223	173
563	224	173
564	224	172
565	224	172
566	225	171
567	225	171
568	225	170
569	225	170
570	226	169
571	226	169
572	226	168
573	227	168
574	227	167
575	227	167
576	227	167
577	228	166
578	228	166
579	228	165
580	228	165
581	229	164
582	229	164
583	229	163
584	229	163
585	230	162
586	230	162
587	230	161
588	231	161
589	231	160
590	231	160
591	231	159
592	232	159
593	232	158
594	232	158
595	232	157
596	233	157
597	233	156
598	233	156
599	233	155
600	234	155
601	234	155
602	234	154
603	235	154
604	235	153
605	235	153
606	235	152
607	236	152
608	236	151
609	236	151
610	237	150
611	237	150
612	237	150
613	237	149
614	238	149
615	238	148
616	238	148
617	239	147
618	239	147
619	239	146
620	239	146
621	240	145
622	240	145
623	240	145
624	241	144
625	241	144
626	241	143
627	241	143
628	242	142
629	242	142
630	242	141
631	242	141
632	243	140
633	243	140
634	243	140
635	243	139
636	244	139
637	244	138
638	244	138
639	244	137
640	245	137
641	245	136
642	245	136
643	246	136
644	246	135
645	246	135
646	246	134
647	247	134
648	247	133
649	247	133
650	248	132
651	248	132
652	248	132
653	248	131
654	249	131
655	249	130
656	249	130
657	249	129
658	250	129
659	250	128
660	250	128
661	250	128
662	251	127
663	251	127
664	251	126
665	251	126
666	252	125
667	252	125
668	252	125
669	253	124
670	253	124
671	253	123
672	253	123
673	254	122
674	254	122
675	254	122
676	254	121
677	255	121
678	255	120
679	255	120
680	255	119
681	256	119
682	256	119
683	256	118
684	257	118
685	257	117
686	257	117
687	257	116
688	258	116
689	258	116
690	258	115
691	258	115
692	259	114
693	259	114
694	259	114
695	260	113
696	260	113
697	260	112
698	261	112
699	261	111
700	261	111
701	261	111
702	262	110
703	262	110
704	262	109
705	262	109
706	263	109
707	263	108
708	263	108
709	263	107
710	264	107
711	264	106
712	264	106
713	265	106
714	265	105
715	265	105
716	265	104
717	266	104
718	266	104
719	266	103
720	266	103
721	267	102
722	267	102
723	267	102
724	267	101
725	268	101
726	268	100
727	268	100
728	268	99
729	269	99
730	269	99
731	269	98
732	269	98
733	270	97
734	270	97
735	270	97
736	271	96
737	271	96
738	271	95
739	271	95
740	272	95
741	272	94
742	272	94
743	272	93
744	273	93
745	273	93
746	273	92
747	274	92
748	274	91
749	274	91
750	274	91
751	275	90
752	275	90
753	275	89
754	275	89
755	276	89
756	276	88
757	276	88
758	277	87
759	277	87
760	277	87
761	277	86
762	278	86
763	278	85
764	278	85
765	278	85
766	279	84
767	279	84
768	279	84
769	280	83
770	280	83
771	280	82
772	280	82
773	281	82
774	281	81
775	281	81
776	281	80
777	282	80
778	282	80
779	282	79
780	282	79
781	283	78
782	283	78
783	283	78
784	284	77
785	284	77
786	284	77
787	285	76
788	285	76
789	285	75
790	285	75
791	286	75
792	286	74
793	286	74
794	287	74
795	287	73
796	287	73
797	287	72
798	288	72
799	288	72
800	288	71
801	289	71
802	289	70
803	289	70
804	289	70
805	290	69
806	290	69
807	290	69
808	291	68
809	291	68
810	291	67
811	291	67
812	292	67
813	292	66
814	292	66
815	292	66
816	293	65
817	293	65
818	293	64
819	293	64
820	294	64
821	294	63
822	294	63
823	294	62
824	295	62
825	295	62
826	295	61
827	295	61
828	296	61
829	296	60
830	296	60
831	297	60
832	297	59
833	297	59
834	298	58
835	298	58
836	298	58
837	299	57
838	299	57
839	299	57
840	299	56
841	300	56
842	300	55
843	300	55
844	300	55
845	301	54
846	301	54
847	301	54
848	301	53
849	302	53
850	302	52
851	302	52
852	303	52
853	303	51
854	303	51
855	303	51
856	304	50
857	304	50
858	304	50
859	304	49
860	305	49
861	305	48
862	305	48
863	306	48
864	306	47
865	306	47
866	306	47
867	307	46
868	307	46
869	307	45
870	307	45
871	308	45
872	308	44
873	308	44
874	309	44
875	309	43
876	309	43
877	309	43
878	310	42
879	310	42
880	310	41
881	311	41
882	311	41
883	311	40
884	311	40
885	312	40
886	312	39
887	312	39
888	313	39
889	313	38
890	313	38
891	313	38
892	314	37
893	314	37
894	314	36
895	315	36
896	315	36
897	315	35
898	315	35
899	316	35
900	316	34
901	316	34
902	316	34
903	317	33
904	317	33
905	317	32
906	317	32
907	318	32
908	318	31
909	318	31
910	319	31
911	319	30
912	319	30
913	319	30
914	320	29
915	320	29
916	320	29
917	321	28
918	321	28
919	321	27
920	321	27
921	322	27
922	322	26
923	322	26
924	323	26
925	323	25
926	323	25
927	324	25
928	324	24
929	324	24
930	324	24
931	325	23
932	325	23
933	325	23
934	325	22
935	326	22
936	326	21
937	326	21
938	326	21
939	327	20
940	327	20
941	327	20
942	327	19
943	328	19
944	328	19
945	328	18
946	329	18
947	329	18
948	329	17
949	329	17
950	330	17
951	330	16
952	330	16
953	330	15
954	331	15
955	331	15
956	331	14
957	332	14
958	332	14
959	332	13
960	332	13
961	333	13
962	333	12
963	333	12
964	333	12
965	334	11
966	334	11
967	334	11
968	335	10
969	335	10
970	335	10
971	336	9
972	336	9
973	336	8
974	337	8
975	337	8
976	337	7
977	337	7
978	338	7
979	338	6
980	338	6
981	339	6
982	339	5
983	339	5
984	339	5
985	340	4
986	340	4
987	340	4
988	341	3
989	341	3
990	341	3
991	342	2
992	342	2
993	342	2
994	343	1
995	343	1
996	343	1
997	344	0
998	344	0
999	344	0
